"fname_image","fname_cells","fname_rings","fname_settings","org_img_name","site","species","tree","woodpiece","slide","image","tree_code","woodpiece_code","slide_code","image_code","img_filetype","img_size","img_width","img_height","software","sw_version","configuration_file","created_at","spatial_resolution","origin_calibrated_x","origin_calibrated_y","meas_geometry","circ_lower_limit","circ_upper_limit","outmost_year","min_cell_area","max_cell_area","dbl_cwt_threshold","max_cwtrad_s","max_cwtrad_l","relwidth_cwt_window","maxrel_opp_cwt","max_cwttan_s","max_cwttan_l"
"../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_1_1.jpg","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_1_1_Output_Cells.txt","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_1_1_Output_Rings.txt","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_1_1_ROXAS_Settings.txt","POG_PISY_02B_1_1","POG","PISY","02","B","1","1","POG_PISY_02","POG_PISY_02_B","POG_PISY_02_B_1","POG_PISY_02_B_1_1","JPEG",23845088,5001,31230,"ROXAS","3.0.608","Pinus_sylvestris_RNF_Alberto_2.267574",2021-04-09 15:03:00,2.267499924,2500,-150000,"linear",179,181,2018,5,2500,0,10,4,0.75,1.5,10,4
"../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_1_2.jpg","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_1_2_Output_Cells.txt","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_1_2_Output_Rings.txt","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_1_2_ROXAS_Settings.txt","POG_PISY_02B_1_2","POG","PISY","02","B","1","2","POG_PISY_02","POG_PISY_02_B","POG_PISY_02_B_1","POG_PISY_02_B_1_2","JPEG",24110909,5000,30824,"ROXAS","3.0.608","Pinus_sylvestris_RNF_Alberto_2.57102",2021-10-11 20:00:00,2.267499924,2500,-150000,"linear",179,181,2010,5,2500,0,10,4,0.75,1.5,10,4
"../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_1_3.jpg","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_1_3_Output_Cells.txt","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_1_3_Output_Rings.txt","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_1_3_ROXAS_Settings.txt","POG_PISY_02B_1_3","POG","PISY","02","B","1","3","POG_PISY_02","POG_PISY_02_B","POG_PISY_02_B_1","POG_PISY_02_B_1_3","JPEG",9917677,5001,14886,"ROXAS","3.0.608","Pinus_sylvestris_RNF_Alberto_2.267574",2021-04-09 15:06:00,2.267499924,2500,-150000,"linear",179,181,2003,5,2500,0,10,4,0.75,1.5,10,4
"../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_2_1.jpg","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_2_1_Output_Cells.txt","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_2_1_Output_Rings.txt","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_2_1_ROXAS_Settings.txt","POG_PISY_02B_2_1","POG","PISY","02","B","2","1","POG_PISY_02","POG_PISY_02_B","POG_PISY_02_B_2","POG_PISY_02_B_2_1","JPEG",38974224,31446,5001,"ROXAS","3.0.608","Pinus_sylvestris_RNF_Alberto_2.267574",2021-10-11 18:45:00,2.267499924,2500,-150000,"linear",179,181,2001,5,2500,0,10,4,0.75,1.5,10,4
"../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_2_2.jpg","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_2_2_Output_Cells.txt","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_2_2_Output_Rings.txt","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_2_2_ROXAS_Settings.txt","POG_PISY_02B_2_2","POG","PISY","02","B","2","2","POG_PISY_02","POG_PISY_02_B","POG_PISY_02_B_2","POG_PISY_02_B_2_2","JPEG",25138482,5001,30076,"ROXAS","3.0.608","Pinus_sylvestris_RNF_Alberto_2.267574",2021-10-11 18:53:00,2.267499924,2500,-150000,"linear",179,181,1990,5,2500,0,10,4,0.75,1.5,10,4
"../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_2_3.jpg","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_2_3_Output_Cells.txt","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_2_3_Output_Rings.txt","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_2_3_ROXAS_Settings.txt","POG_PISY_02B_2_3","POG","PISY","02","B","2","3","POG_PISY_02","POG_PISY_02_B","POG_PISY_02_B_2","POG_PISY_02_B_2_3","JPEG",15011751,5000,20846,"ROXAS","3.0.608","Pinus_sylvestris_RNF_Alberto_2.267574",2021-10-11 19:03:00,2.267499924,2500,-150000,"linear",179,181,1982,5,2500,0,10,4,0.75,1.5,10,4
"../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_3_1.jpg","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_3_1_Output_Cells.txt","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_3_1_Output_Rings.txt","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_3_1_ROXAS_Settings.txt","POG_PISY_02B_3_1","POG","PISY","02","B","3","1","POG_PISY_02","POG_PISY_02_B","POG_PISY_02_B_3","POG_PISY_02_B_3_1","JPEG",23633487,5001,31130,"ROXAS","3.0.608","Pinus_sylvestris_RNF_Alberto_2.267574",2021-10-11 19:11:00,2.267499924,2500,-150000,"linear",179,181,1980,5,2500,0,10,4,0.75,1.5,10,4
"../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_3_2.jpg","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_3_2_Output_Cells.txt","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_3_2_Output_Rings.txt","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_3_2_ROXAS_Settings.txt","POG_PISY_02B_3_2","POG","PISY","02","B","3","2","POG_PISY_02","POG_PISY_02_B","POG_PISY_02_B_3","POG_PISY_02_B_3_2","JPEG",25936352,5000,32000,"ROXAS","3.0.608","Pinus_sylvestris_RNF_Alberto_2.267574",2021-10-11 19:24:00,2.267499924,2500,-150000,"linear",179,181,1972,5,2500,0,10,4,0.75,1.5,10,4
"../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_3_3.jpg","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_3_3_Output_Cells.txt","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_3_3_Output_Rings.txt","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_3_3_ROXAS_Settings.txt","POG_PISY_02B_3_3","POG","PISY","02","B","3","3","POG_PISY_02","POG_PISY_02_B","POG_PISY_02_B_3","POG_PISY_02_B_3_3","JPEG",5627163,5001,9390,"ROXAS","3.0.608","Pinus_sylvestris_RNF_Alberto_2.267574",2021-10-11 19:28:00,2.267499924,2500,-150000,"linear",179,181,1966,5,2500,0,10,4,0.75,1.5,10,4
"../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_4_1.jpg","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_4_1_Output_Cells.txt","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_4_1_Output_Rings.txt","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_4_1_ROXAS_Settings.txt","POG_PISY_02B_4_1","POG","PISY","02","B","4","1","POG_PISY_02","POG_PISY_02_B","POG_PISY_02_B_4","POG_PISY_02_B_4_1","JPEG",23007366,5001,31114,"ROXAS","3.0.608","Pinus_sylvestris_RNF_Alberto_2.267574",2021-10-11 19:36:00,2.267499924,2500,-150000,"linear",179,181,1966,5,2500,0,10,4,0.75,1.5,10,4
"../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_4_2.jpg","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_4_2_Output_Cells.txt","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_4_2_Output_Rings.txt","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_4_2_ROXAS_Settings.txt","POG_PISY_02B_4_2","POG","PISY","02","B","4","2","POG_PISY_02","POG_PISY_02_B","POG_PISY_02_B_4","POG_PISY_02_B_4_2","JPEG",24183784,5001,30028,"ROXAS","3.0.608","Pinus_sylvestris_RNF_Alberto_2.267574",2021-10-11 19:44:00,2.267499924,2500,-150000,"linear",179,181,1962,5,2500,0,10,4,0.75,1.5,10,4
"../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_1_1.jpg","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_1_1_Output_Cells.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_1_1_Output_Rings.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_1_1_ROXAS_Settings.txt","POG_PISY_08B_1_1","POG","PISY","08","B","1","1","POG_PISY_08","POG_PISY_08_B","POG_PISY_08_B_1","POG_PISY_08_B_1_1","JPEG",22361281,5000,28620,"ROXAS","3.0.608","Pinus_sylvestris_RNF_Alberto_2.267574",2021-04-09 18:42:00,2.267499924,2500,-150000,"linear",179,181,2018,5,2500,0,10,4,0.75,1.5,10,4
"../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_1_2.jpg","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_1_2_Output_Cells.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_1_2_Output_Rings.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_1_2_ROXAS_Settings.txt","POG_PISY_08B_1_2","POG","PISY","08","B","1","2","POG_PISY_08","POG_PISY_08_B","POG_PISY_08_B_1","POG_PISY_08_B_1_2","JPEG",37848901,31002,5001,"ROXAS","3.0.608","Pinus_sylvestris_RNF_Alberto_2.267574",2021-04-09 18:49:00,2.267499924,2500,-150000,"linear",179,181,2008,5,2500,0,10,4,0.75,1.5,10,4
"../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_1_3.jpg","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_1_3_Output_Cells.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_1_3_Output_Rings.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_1_3_ROXAS_Settings.txt","POG_PISY_08B_1_3","POG","PISY","08","B","1","3","POG_PISY_08","POG_PISY_08_B","POG_PISY_08_B_1","POG_PISY_08_B_1_3","JPEG",8356424,5001,14786,"ROXAS","3.0.608","Pinus_sylvestris_RNF_Alberto_2.267574",2021-04-09 18:52:00,2.267499924,2500,-150000,"linear",179,181,2002,5,2500,0,10,4,0.75,1.5,10,4
"../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_2_1.jpg","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_2_1_Output_Cells.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_2_1_Output_Rings.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_2_1_ROXAS_Settings.txt","POG_PISY_08B_2_1","POG","PISY","08","B","2","1","POG_PISY_08","POG_PISY_08_B","POG_PISY_08_B_2","POG_PISY_08_B_2_1","JPEG",12283071,5000,20254,"ROXAS","3.0.608","Pinus_sylvestris_RNF_Alberto_2.267574",2021-04-09 18:57:00,2.267499924,2500,-150000,"linear",179,181,2000,5,2500,0,10,4,0.75,1.5,10,4
"../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_2_2.jpg","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_2_2_Output_Cells.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_2_2_Output_Rings.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_2_2_ROXAS_Settings.txt","POG_PISY_08B_2_2","POG","PISY","08","B","2","2","POG_PISY_08","POG_PISY_08_B","POG_PISY_08_B_2","POG_PISY_08_B_2_2","JPEG",25261862,5000,32000,"ROXAS","3.0.608","Pinus_sylvestris_RNF_Alberto_2.267574",2021-04-09 19:04:00,2.267499924,2500,-150000,"linear",179,181,1997,5,2500,0,10,4,0.75,1.5,10,4
"../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_2_3.jpg","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_2_3_Output_Cells.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_2_3_Output_Rings.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_2_3_ROXAS_Settings.txt","POG_PISY_08B_2_3","POG","PISY","08","B","2","3","POG_PISY_08","POG_PISY_08_B","POG_PISY_08_B_2","POG_PISY_08_B_2_3","JPEG",20118483,5001,27946,"ROXAS","3.0.608","Pinus_sylvestris_RNF_Alberto_2.267574",2021-04-09 19:10:00,2.267499924,2500,-150000,"linear",179,181,1991,5,2500,0,10,4,0.75,1.5,10,4
"../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_3_1.jpg","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_3_1_Output_Cells.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_3_1_Output_Rings.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_3_1_ROXAS_Settings.txt","POG_PISY_08B_3_1","POG","PISY","08","B","3","1","POG_PISY_08","POG_PISY_08_B","POG_PISY_08_B_3","POG_PISY_08_B_3_1","JPEG",24431201,5000,30806,"ROXAS","3.0.608","Pinus_sylvestris_RNF_Alberto_2.267574",2021-04-09 19:16:00,2.267499924,2500,-150000,"linear",179,181,1989,5,2500,0,10,4,0.75,1.5,10,4
"../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_3_2.jpg","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_3_2_Output_Cells.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_3_2_Output_Rings.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_3_2_ROXAS_Settings.txt","POG_PISY_08B_3_2","POG","PISY","08","B","3","2","POG_PISY_08","POG_PISY_08_B","POG_PISY_08_B_3","POG_PISY_08_B_3_2","JPEG",25100803,5000,31470,"ROXAS","3.0.608","Pinus_sylvestris_RNF_Alberto_2.267574",2021-04-09 19:23:00,2.267499924,2500,-150000,"linear",179,181,1983,5,2500,0,10,4,0.75,1.5,10,4
"../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_3_3.jpg","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_3_3_Output_Cells.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_3_3_Output_Rings.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_3_3_ROXAS_Settings.txt","POG_PISY_08B_3_3","POG","PISY","08","B","3","3","POG_PISY_08","POG_PISY_08_B","POG_PISY_08_B_3","POG_PISY_08_B_3_3","JPEG",9746369,5001,15014,"ROXAS","3.0.608","Pinus_sylvestris_RNF_Alberto_2.267574",2021-04-09 19:26:00,2.267499924,2500,-150000,"linear",179,181,1977,5,2500,0,10,4,0.75,1.5,10,4
"../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_4_1.jpg","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_4_1_Output_Cells.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_4_1_Output_Rings.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_4_1_ROXAS_Settings.txt","POG_PISY_08B_4_1","POG","PISY","08","B","4","1","POG_PISY_08","POG_PISY_08_B","POG_PISY_08_B_4","POG_PISY_08_B_4_1","JPEG",23599324,5000,32000,"ROXAS","3.0.608","Pinus_sylvestris_RNF_Alberto_2.267574",2021-04-09 19:33:00,2.267499924,2500,-150000,"linear",179,181,1975,5,2500,0,10,4,0.75,1.5,10,4
"../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_4_2.jpg","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_4_2_Output_Cells.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_4_2_Output_Rings.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_4_2_ROXAS_Settings.txt","POG_PISY_08B_4_2","POG","PISY","08","B","4","2","POG_PISY_08","POG_PISY_08_B","POG_PISY_08_B_4","POG_PISY_08_B_4_2","JPEG",20939157,5001,26322,"ROXAS","3.0.608","Pinus_sylvestris_RNF_Alberto_2.267574",2021-04-09 19:39:00,2.267499924,2500,-150000,"linear",179,181,1971,5,2500,0,10,4,0.75,1.5,10,4
"../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_4_3.jpg","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_4_3_Output_Cells.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_4_3_Output_Rings.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_4_3_ROXAS_Settings.txt","POG_PISY_08B_4_3","POG","PISY","08","B","4","3","POG_PISY_08","POG_PISY_08_B","POG_PISY_08_B_4","POG_PISY_08_B_4_3","JPEG",12082432,5001,17672,"ROXAS","3.0.608","Pinus_sylvestris_RNF_Alberto_2.267574",2021-04-09 19:43:00,2.267499924,2500,-150000,"linear",179,181,1968,5,2500,0,10,4,0.75,1.5,10,4
"../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_5_1.jpeg","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_5_1_Output_Cells.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_5_1_Output_Rings.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_5_1_ROXAS_Settings.txt","POG_PISY_08B_5_1","POG","PISY","08","B","5","1","POG_PISY_08","POG_PISY_08_B","POG_PISY_08_B_5","POG_PISY_08_B_5_1","JPEG",28485217,8001,29166,"ROXAS","3.0.608","2.57102",2021-10-04 10:52:00,2.571019888,4000,-230000,"linear",179,181,1968,5,2500,0,10,4,0.75,1.5,10,4
"../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_5_2.jpeg","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_5_2_Output_Cells.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_5_2_Output_Rings.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_5_2_ROXAS_Settings.txt","POG_PISY_08B_5_2","POG","PISY","08","B","5","2","POG_PISY_08","POG_PISY_08_B","POG_PISY_08_B_5","POG_PISY_08_B_5_2","JPEG",40473709,8001,32001,"ROXAS","3.0.608","2.57102",2021-10-04 11:03:00,2.571019888,4000,-230000,"linear",179,181,1967,5,2500,0,10,4,0.75,1.5,10,4
"../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_5_3.jpeg","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_5_3_Output_Cells.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_5_3_Output_Rings.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_5_3_ROXAS_Settings.txt","POG_PISY_08B_5_3","POG","PISY","08","B","5","3","POG_PISY_08","POG_PISY_08_B","POG_PISY_08_B_5","POG_PISY_08_B_5_3","JPEG",36065564,8001,32001,"ROXAS","3.0.608","2.57102",2021-10-04 11:14:00,2.571019888,4000,-230000,"linear",179,181,1965,5,2500,0,10,4,0.75,1.5,10,4
"../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_6_1.jpeg","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_6_1_Output_Cells.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_6_1_Output_Rings.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_6_1_ROXAS_Settings.txt","POG_PISY_08B_6_1","POG","PISY","08","B","6","1","POG_PISY_08","POG_PISY_08_B","POG_PISY_08_B_6","POG_PISY_08_B_6_1","JPEG",26197736,8001,24565,"ROXAS","3.0.608","Pinus_sylvestris_RNF_Alberto_2.57102",2021-10-02 17:24:00,2.267499924,4000,-230000,"linear",179,181,1962,5,2500,0,10,4,0.75,1.5,10,4
"../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_6_2.jpeg","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_6_2_Output_Cells.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_6_2_Output_Rings.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_6_2_ROXAS_Settings.txt","POG_PISY_08B_6_2","POG","PISY","08","B","6","2","POG_PISY_08","POG_PISY_08_B","POG_PISY_08_B_6","POG_PISY_08_B_6_2","JPEG",39992292,8001,31617,"ROXAS","3.0.608","Pinus_sylvestris_RNF_Alberto_2.57102",2021-10-04 11:26:00,2.267499924,4000,-230000,"linear",179,181,1961,5,2500,0,10,4,0.75,1.5,10,4
"../QWA_Arzac2024/STO/STO_20/STO_PISY_20_1_1.jpg","../QWA_Arzac2024/STO/STO_20/STO_PISY_20_1_1_Output_Cells.txt","../QWA_Arzac2024/STO/STO_20/STO_PISY_20_1_1_Output_Rings.txt","../QWA_Arzac2024/STO/STO_20/STO_PISY_20_1_1_ROXAS_Settings.txt","STO_PISY_20_1_1","STO","PISY","20",NA,"1","1","STO_PISY_20","STO_PISY_20","STO_PISY_20_1","STO_PISY_20_1_1","JPEG",22328335,5000,32000,"ROXAS","3.0.608","Pinus_sylvestris_RNF_Alberto_2.267574",2021-04-13 23:52:00,2.267499924,2500,-150000,"linear",179,181,2018,5,2500,0,10,4,0.75,1.5,10,4
"../QWA_Arzac2024/STO/STO_20/STO_PISY_20_1_2.jpg","../QWA_Arzac2024/STO/STO_20/STO_PISY_20_1_2_Output_Cells.txt","../QWA_Arzac2024/STO/STO_20/STO_PISY_20_1_2_Output_Rings.txt","../QWA_Arzac2024/STO/STO_20/STO_PISY_20_1_2_ROXAS_Settings.txt","STO_PISY_20_1_2","STO","PISY","20",NA,"1","2","STO_PISY_20","STO_PISY_20","STO_PISY_20_1","STO_PISY_20_1_2","JPEG",22172073,5001,30862,"ROXAS","3.0.608","Pinus_sylvestris_RNF_Alberto_2.267574",2021-04-14,2.267499924,2500,-150000,"linear",179,181,2002,5,2500,0,10,4,0.75,1.5,10,4
"../QWA_Arzac2024/STO/STO_20/STO_PISY_20_1_3.jpg","../QWA_Arzac2024/STO/STO_20/STO_PISY_20_1_3_Output_Cells.txt","../QWA_Arzac2024/STO/STO_20/STO_PISY_20_1_3_Output_Rings.txt","../QWA_Arzac2024/STO/STO_20/STO_PISY_20_1_3_ROXAS_Settings.txt","STO_PISY_20_1_3","STO","PISY","20",NA,"1","3","STO_PISY_20","STO_PISY_20","STO_PISY_20_1","STO_PISY_20_1_3","JPEG",5730265,5001,10734,"ROXAS","3.0.608","Pinus_sylvestris_RNF_Alberto_2.267574",2021-04-14 00:02:00,2.267499924,2500,-150000,"linear",179,181,1983,5,2500,0,10,4,0.75,1.5,10,4
"../QWA_Arzac2024/STO/STO_20/STO_PISY_20_2_1.jpg","../QWA_Arzac2024/STO/STO_20/STO_PISY_20_2_1_Output_Cells.txt","../QWA_Arzac2024/STO/STO_20/STO_PISY_20_2_1_Output_Rings.txt","../QWA_Arzac2024/STO/STO_20/STO_PISY_20_2_1_ROXAS_Settings.txt","STO_PISY_20_2_1","STO","PISY","20",NA,"2","1","STO_PISY_20","STO_PISY_20","STO_PISY_20_2","STO_PISY_20_2_1","JPEG",21735044,5000,32000,"ROXAS","3.0.608","Pinus_sylvestris_RNF_Alberto_2.267574",2021-04-14 00:08:00,2.267499924,2500,-150000,"linear",179,181,1984,5,2500,0,10,4,0.75,1.5,10,4
"../QWA_Arzac2024/STO/STO_20/STO_PISY_20_2_2.jpg","../QWA_Arzac2024/STO/STO_20/STO_PISY_20_2_2_Output_Cells.txt","../QWA_Arzac2024/STO/STO_20/STO_PISY_20_2_2_Output_Rings.txt","../QWA_Arzac2024/STO/STO_20/STO_PISY_20_2_2_ROXAS_Settings.txt","STO_PISY_20_2_2","STO","PISY","20",NA,"2","2","STO_PISY_20","STO_PISY_20","STO_PISY_20_2","STO_PISY_20_2_2","JPEG",23498800,5000,32000,"ROXAS","3.0.608","Pinus_sylvestris_RNF_Alberto_2.267574",2021-04-14 00:17:00,2.267499924,2500,-150000,"linear",179,181,1970,5,2500,0,10,4,0.75,1.5,10,4
